team,Goals,xG,Shots_On_Target,Total_Passes,Completed_Passes,Key_Passes,Defensive_Actions,Saves
Argentina,23,20.988442916,56,4615,3939,73,662,10
Australia,3,1.5781715056999999,8,1707,1271,17,419,13
Belgium,1,3.6944930278,10,1867,1598,27,262,9
Brazil,10,13.6365929812,46,3196,2776,66,466,7
Cameroon,4,3.0667434502,16,1261,970,21,302,12
Canada,1,3.928625529,5,1571,1318,26,291,8
Costa Rica,2,1.2341124509999999,6,1094,830,6,313,11
Croatia,15,13.1697023989,33,4511,3796,58,704,30
Denmark,1,3.192257232,11,1928,1613,26,285,8
Ecuador,4,3.8067283904,11,1447,1153,17,274,1
England,13,8.735856199,28,3238,2800,45,364,6
France,18,14.955858183,38,3926,3291,79,644,18
Germany,6,8.2310779317,24,1963,1683,51,282,7
Ghana,5,3.3532532787,10,1248,986,14,342,10
Iran,4,3.8304064883,10,1125,792,23,294,8
Japan,6,7.383570514,18,1748,1355,28,425,15
Mexico,2,3.057649911,15,1435,1108,26,290,3
Morocco,9,8.678369942,21,2865,2292,43,723,13
Netherlands,13,8.91128704,21,3005,2501,34,447,18
Poland,3,4.663221082,7,1524,1191,20,376,25
Portugal,12,7.3127104283,26,3129,2655,50,399,12
Qatar,1,1.4079916985,6,1406,1140,16,245,5
Saudi Arabia,3,3.201549268,9,1190,880,18,333,14
Senegal,5,4.2747284715,12,1696,1342,34,398,7
Serbia,5,3.090397962,9,1503,1186,22,290,16
South Korea,5,3.6045950894,18,2011,1635,33,377,12
Spain,9,7.1046272574,19,3914,3540,36,316,7
Switzerland,5,6.090516355,13,2035,1673,28,336,14
Tunisia,1,2.410452449,8,1326,996,21,382,9
United States,3,3.9385379416,13,2201,1822,37,405,10
Uruguay,2,3.2705338566,10,1477,1163,27,302,5
Wales,1,2.218980701,7,1353,1051,17,314,9
