team,Goals,xG,Total_Passes,Successful_Passes
Argentina,23,20.988442916,4615,3939
Australia,3,1.5781715056999999,1707,1271
Belgium,1,3.6944930278,1867,1598
Brazil,10,13.6365929812,3196,2776
Cameroon,4,3.0667434502,1261,970
Canada,1,3.928625529,1571,1318
Costa Rica,2,1.2341124509999999,1094,830
Croatia,15,13.1697023989,4511,3796
Denmark,1,3.192257232,1928,1613
Ecuador,4,3.8067283904,1447,1153
England,13,8.735856199,3238,2800
France,18,14.955858183,3926,3291
Germany,6,8.2310779317,1963,1683
Ghana,5,3.3532532787,1248,986
Iran,4,3.8304064883,1125,792
Japan,6,7.383570514,1748,1355
Mexico,2,3.057649911,1435,1108
Morocco,9,8.678369942,2865,2292
Netherlands,13,8.91128704,3005,2501
Poland,3,4.663221082,1524,1191
Portugal,12,7.3127104283,3129,2655
Qatar,1,1.4079916985,1406,1140
Saudi Arabia,3,3.201549268,1190,880
Senegal,5,4.2747284715,1696,1342
Serbia,5,3.090397962,1503,1186
South Korea,5,3.6045950894,2011,1635
Spain,9,7.1046272574,3914,3540
Switzerland,5,6.090516355,2035,1673
Tunisia,1,2.410452449,1326,996
United States,3,3.9385379416,2201,1822
Uruguay,2,3.2705338566,1477,1163
Wales,1,2.218980701,1353,1051
