team,Goals,xG,Shots,Shots_OT,Passes,Succ_Passes,Prog_Passes,Crosses,Through_Balls,Long_Balls,Pressures,Recoveries,Blocks,Tackles,Aerials_Won,Errors,Errors_Goal,Saves,Punches,Pen_Saves
Argentina,23,20.988442916,110,56,4615,3939,810,82,32,469,980,325,126,134,114,1,0,10,2,3
Australia,3,1.5781715056999999,26,8,1707,1271,468,35,1,292,549,172,110,63,89,1,0,13,2,0
Belgium,1,3.6944930278,35,10,1867,1598,326,30,15,200,309,117,56,48,38,0,0,9,0,1
Brazil,10,13.6365929812,99,46,3196,2776,618,78,9,263,605,267,88,97,76,1,0,7,4,0
Cameroon,4,3.0667434502,28,16,1261,970,378,33,3,230,403,143,46,37,56,2,0,12,2,0
Canada,1,3.928625529,35,5,1571,1318,373,37,5,202,380,159,49,35,30,2,0,8,3,0
Costa Rica,2,1.2341124509999999,11,6,1094,830,260,18,3,182,435,133,63,71,42,0,0,11,2,0
Croatia,15,13.1697023989,87,33,4511,3796,911,116,10,512,949,332,130,138,110,1,0,30,2,4
Denmark,1,3.192257232,35,11,1928,1613,443,40,3,248,337,129,59,51,70,0,0,8,3,0
Ecuador,4,3.8067283904,30,11,1447,1153,324,28,3,207,417,131,60,53,64,0,0,1,3,0
England,13,8.735856199,63,28,3238,2800,602,57,4,368,485,189,71,66,82,0,0,6,1,0
France,18,14.955858183,106,38,3926,3291,825,94,9,492,905,310,125,140,104,0,0,18,3,0
Germany,6,8.2310779317,68,24,1963,1683,411,47,16,214,384,158,60,55,42,2,0,7,1,0
Ghana,5,3.3532532787,25,10,1248,986,290,24,4,180,412,149,71,67,76,1,0,10,1,0
Iran,4,3.8304064883,33,10,1125,792,333,42,8,216,452,140,59,51,59,0,0,8,5,0
Japan,6,7.383570514,48,18,1748,1355,430,38,3,235,692,168,100,66,86,1,0,15,4,0
Mexico,2,3.057649911,41,15,1435,1108,368,48,3,209,382,147,47,56,60,0,0,3,2,1
Morocco,9,8.678369942,66,21,2865,2292,647,56,11,449,1085,329,134,137,108,0,0,13,9,2
Netherlands,13,8.91128704,48,21,3005,2501,589,50,16,334,730,184,102,88,87,2,0,18,3,0
Poland,3,4.663221082,31,7,1524,1191,408,32,2,270,463,150,77,66,66,1,0,25,3,2
Portugal,12,7.3127104283,66,26,3129,2655,612,66,20,392,530,208,74,69,77,3,0,12,1,0
Qatar,1,1.4079916985,20,6,1406,1140,288,30,4,221,375,122,40,45,39,1,0,5,2,0
Saudi Arabia,3,3.201549268,30,9,1190,880,355,25,3,195,393,158,58,52,61,1,0,14,6,0
Senegal,5,4.2747284715,50,12,1696,1342,466,44,4,287,512,193,61,49,65,0,0,7,3,0
Serbia,5,3.090397962,32,9,1503,1186,349,42,5,188,360,138,66,51,53,1,0,16,0,0
South Korea,5,3.6045950894,48,18,2011,1635,520,51,3,315,515,186,63,59,73,2,0,12,3,0
Spain,9,7.1046272574,51,19,3914,3540,591,55,19,277,445,189,55,58,50,0,0,7,0,1
Switzerland,5,6.090516355,37,13,2035,1673,443,35,14,230,444,143,53,55,61,1,0,14,2,0
Tunisia,1,2.410452449,32,8,1326,996,361,34,7,213,361,178,69,72,71,1,0,9,2,0
United States,3,3.9385379416,46,13,2201,1822,466,55,7,248,537,210,73,51,85,1,0,10,0,0
Uruguay,2,3.2705338566,33,10,1477,1163,366,36,3,202,374,123,70,58,57,0,0,5,1,1
Wales,1,2.218980701,24,7,1353,1051,328,28,5,217,354,141,71,47,53,2,0,9,4,0
